,speech_number,type,position,sentiment_blob
5,41,Great Speech,5,0.18181818181818182
6,41,Great Speech,6,0.04999999999999999
7,41,Great Speech,7,0.08000000000000002
8,41,Great Speech,8,0.05255102040816327
9,41,Great Speech,9,0.47666666666666674
0,42,Great Speech,0,0.24683333333333338
1,42,Great Speech,1,0.28876314162028455
2,42,Great Speech,2,0.1052308802308802
3,42,Great Speech,3,0.11635472370766488
4,42,Great Speech,4,0.22189360119047621
5,42,Great Speech,5,0.23376758658008662
6,42,Great Speech,6,0.06317460317460317
7,42,Great Speech,7,0.24006696428571428
8,42,Great Speech,8,0.17530612244897956
9,42,Great Speech,9,0.0794452887537994
0,43,Great Speech,0,0.41392045454545445
1,43,Great Speech,1,0.3
2,43,Great Speech,2,-0.00833333333333334
3,43,Great Speech,3,-0.1875
4,43,Great Speech,4,0.1
5,43,Great Speech,5,0.475
6,43,Great Speech,6,0.16558441558441558
7,43,Great Speech,7,0.24675324675324675
8,43,Great Speech,8,0.3
9,43,Great Speech,9,0.23655403238736572
0,44,Great Speech,0,0.19625435540069686
1,44,Great Speech,1,0.018158143939393943
2,44,Great Speech,2,0.17136568386568385
3,44,Great Speech,3,0.045000000000000005
4,44,Great Speech,4,0.09243197278911564
5,44,Great Speech,5,0.14605263157894738
6,44,Great Speech,6,0.012110389610389617
7,44,Great Speech,7,0.10225340136054421
8,44,Great Speech,8,0.35
9,44,Great Speech,9,0.6499999999999999
0,45,Great Speech,0,0.03679267161410019
1,45,Great Speech,1,0.03640926640926641
2,45,Great Speech,2,0.05
3,45,Great Speech,3,0.4133333333333333
4,45,Great Speech,4,0.0
5,45,Great Speech,5,0.0175595238095238
6,45,Great Speech,6,0.1357142857142857
7,45,Great Speech,7,0.0
8,45,Great Speech,8,0.018750000000000003
9,45,Great Speech,9,0.09563841421736158
0,46,Great Speech,0,0.11420841784478147
1,46,Great Speech,1,0.17447619047619056
2,46,Great Speech,2,0.08243867243867242
3,46,Great Speech,3,0.10241894630192498
4,46,Great Speech,4,0.1193899678303348
5,46,Great Speech,5,0.08201779701779702
6,46,Great Speech,6,0.03603088023088023
7,46,Great Speech,7,0.11621894087647514
8,46,Great Speech,8,-0.007056590752242909
9,46,Great Speech,9,0.14281385281385284
0,47,Great Speech,0,0.004166666666666652
1,47,Great Speech,1,0.1537037037037037
2,47,Great Speech,2,0.1296176046176046
3,47,Great Speech,3,0.0
4,47,Great Speech,4,-0.16590909090909092
5,47,Great Speech,5,0.16428571428571428
6,47,Great Speech,6,0.06460317460317459
7,47,Great Speech,7,-0.21250000000000002
8,47,Great Speech,8,0.024216450216450216
9,47,Great Speech,9,0.009895833333333333
0,48,Great Speech,0,0.07795454545454547
1,48,Great Speech,1,0.11850649350649352
2,48,Great Speech,2,0.0986405723905724
3,48,Great Speech,3,-0.12518262987012985
4,48,Great Speech,4,0.009336875245966166
5,48,Great Speech,5,-0.12398148148148147
6,48,Great Speech,6,0.09272123225611598
7,48,Great Speech,7,0.19271026592455162
8,48,Great Speech,8,0.3303030303030303
9,48,Great Speech,9,0.29427820043204655
0,49,Great Speech,0,0.014955357142857154
1,49,Great Speech,1,0.09999999999999999
2,49,Great Speech,2,0.39285714285714285
3,49,Great Speech,3,0.17757936507936503
4,49,Great Speech,4,0.3138888888888889
5,49,Great Speech,5,-0.1796875
6,49,Great Speech,6,0.016666666666666666
7,49,Great Speech,7,-0.016666666666666666
8,49,Great Speech,8,0.0
9,49,Great Speech,9,0.1388888888888889
0,50,Great Speech,0,0.10876767676767671
1,50,Great Speech,1,0.1269132653061224
2,50,Great Speech,2,0.17201125541125553
3,50,Great Speech,3,0.1261823222439661
4,50,Great Speech,4,0.16910290796160354
5,50,Great Speech,5,0.17529627962796282
6,50,Great Speech,6,0.19267316017316025
7,50,Great Speech,7,0.2634065934065935
8,50,Great Speech,8,0.2536906970580441
9,50,Great Speech,9,0.30921814671814674
0,51,Great Speech,0,0.3995238095238095
1,51,Great Speech,1,0.05833333333333334
2,51,Great Speech,2,0.02476190476190477
3,51,Great Speech,3,-0.0510204081632653
4,51,Great Speech,4,0.07003968253968255
5,51,Great Speech,5,-0.225
6,51,Great Speech,6,0.016666666666666673
7,51,Great Speech,7,-0.0625
8,51,Great Speech,8,0.24292929292929294
9,51,Great Speech,9,0.10924197330447331
0,52,Great Speech,0,0.284375
1,52,Great Speech,1,-0.4
2,52,Great Speech,2,0.1195138888888889
3,52,Great Speech,3,0.4600000000000001
4,52,Great Speech,4,0.09999999999999999
5,52,Great Speech,5,0.03916256157635468
